baseline,harm,model,scoring,aurc,coverage_at_1%,coverage_at_5%
B2_logreg,class_error,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning,logprob,0.0161,0.7078,0.833
B3_vlm_escalated,class_error,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning,logprob,0.0092,0.7588,0.9485
