baseline,harm,coverage,risk
B2_logreg,class_error,0.0459,0.0
B2_logreg,class_error,0.0504,0.0
B2_logreg,class_error,0.0549,0.0
B2_logreg,class_error,0.0595,0.0
B2_logreg,class_error,0.064,0.0
B2_logreg,class_error,0.0685,0.0
B2_logreg,class_error,0.073,0.0
B2_logreg,class_error,0.0776,0.0
B2_logreg,class_error,0.0821,0.0
B2_logreg,class_error,0.0866,0.0
B2_logreg,class_error,0.0912,0.0
B2_logreg,class_error,0.0957,0.0
B2_logreg,class_error,0.1002,0.0
B2_logreg,class_error,0.1048,0.0
B2_logreg,class_error,0.1093,0.0
B2_logreg,class_error,0.1138,0.0
B2_logreg,class_error,0.1183,0.0
B2_logreg,class_error,0.1229,0.0
B2_logreg,class_error,0.1274,0.0
B2_logreg,class_error,0.1319,0.0
B2_logreg,class_error,0.1365,0.0
B2_logreg,class_error,0.141,0.0
B2_logreg,class_error,0.1455,0.0
B2_logreg,class_error,0.1501,0.0
B2_logreg,class_error,0.1546,0.0
B2_logreg,class_error,0.1591,0.0
B2_logreg,class_error,0.1636,0.0
B2_logreg,class_error,0.1682,0.0
B2_logreg,class_error,0.1727,0.0
B2_logreg,class_error,0.1772,0.0
B2_logreg,class_error,0.1818,0.0
B2_logreg,class_error,0.1863,0.0
B2_logreg,class_error,0.1908,0.0
B2_logreg,class_error,0.1954,0.0
B2_logreg,class_error,0.1999,0.0
B2_logreg,class_error,0.2044,0.0
B2_logreg,class_error,0.2089,0.0
B2_logreg,class_error,0.2135,0.0
B2_logreg,class_error,0.218,0.0
B2_logreg,class_error,0.2225,0.0
B2_logreg,class_error,0.2271,0.0
B2_logreg,class_error,0.2316,0.0
B2_logreg,class_error,0.2361,0.0
B2_logreg,class_error,0.2407,0.0
B2_logreg,class_error,0.2452,0.0
B2_logreg,class_error,0.2497,0.0
B2_logreg,class_error,0.2542,0.0
B2_logreg,class_error,0.2588,0.0
B2_logreg,class_error,0.2633,0.0
B2_logreg,class_error,0.2678,0.0
B2_logreg,class_error,0.2724,0.0
B2_logreg,class_error,0.2769,0.0
B2_logreg,class_error,0.2814,0.0
B2_logreg,class_error,0.286,0.0
B2_logreg,class_error,0.2905,0.0
B2_logreg,class_error,0.295,0.0
B2_logreg,class_error,0.2995,0.0
B2_logreg,class_error,0.3041,0.0
B2_logreg,class_error,0.3086,0.0018
B2_logreg,class_error,0.3131,0.0018
B2_logreg,class_error,0.3177,0.0018
B2_logreg,class_error,0.3222,0.0018
B2_logreg,class_error,0.3267,0.0017
B2_logreg,class_error,0.3313,0.0017
B2_logreg,class_error,0.3358,0.0017
B2_logreg,class_error,0.3403,0.0017
B2_logreg,class_error,0.3448,0.0016
B2_logreg,class_error,0.3494,0.0016
B2_logreg,class_error,0.3539,0.0016
B2_logreg,class_error,0.3584,0.0016
B2_logreg,class_error,0.363,0.0016
B2_logreg,class_error,0.3675,0.0015
B2_logreg,class_error,0.372,0.0015
B2_logreg,class_error,0.3766,0.0015
B2_logreg,class_error,0.3811,0.0015
B2_logreg,class_error,0.3856,0.0015
B2_logreg,class_error,0.3901,0.0015
B2_logreg,class_error,0.3947,0.0014
B2_logreg,class_error,0.3992,0.0014
B2_logreg,class_error,0.4037,0.0014
B2_logreg,class_error,0.4083,0.0014
B2_logreg,class_error,0.4128,0.0014
B2_logreg,class_error,0.4173,0.0014
B2_logreg,class_error,0.4219,0.0013
B2_logreg,class_error,0.4264,0.0013
B2_logreg,class_error,0.4309,0.0013
B2_logreg,class_error,0.4354,0.0013
B2_logreg,class_error,0.44,0.0013
B2_logreg,class_error,0.4445,0.0013
B2_logreg,class_error,0.449,0.0013
B2_logreg,class_error,0.4536,0.0012
B2_logreg,class_error,0.4581,0.0012
B2_logreg,class_error,0.4626,0.0012
B2_logreg,class_error,0.4672,0.0012
B2_logreg,class_error,0.4717,0.0012
B2_logreg,class_error,0.4762,0.0012
B2_logreg,class_error,0.4807,0.0012
B2_logreg,class_error,0.4853,0.0012
B2_logreg,class_error,0.4898,0.0012
B2_logreg,class_error,0.4943,0.0011
B2_logreg,class_error,0.4989,0.0011
B2_logreg,class_error,0.5034,0.0011
B2_logreg,class_error,0.5079,0.0011
B2_logreg,class_error,0.5125,0.0011
B2_logreg,class_error,0.517,0.0011
B2_logreg,class_error,0.5215,0.0011
B2_logreg,class_error,0.526,0.0011
B2_logreg,class_error,0.5306,0.0011
B2_logreg,class_error,0.5351,0.0011
B2_logreg,class_error,0.5396,0.001
B2_logreg,class_error,0.5442,0.001
B2_logreg,class_error,0.5487,0.001
B2_logreg,class_error,0.5532,0.001
B2_logreg,class_error,0.5578,0.001
B2_logreg,class_error,0.5623,0.001
B2_logreg,class_error,0.5668,0.001
B2_logreg,class_error,0.5713,0.001
B2_logreg,class_error,0.5759,0.001
B2_logreg,class_error,0.5804,0.001
B2_logreg,class_error,0.5849,0.001
B2_logreg,class_error,0.5895,0.001
B2_logreg,class_error,0.594,0.001
B2_logreg,class_error,0.5985,0.0009
B2_logreg,class_error,0.6031,0.0009
B2_logreg,class_error,0.6076,0.0009
B2_logreg,class_error,0.6121,0.0019
B2_logreg,class_error,0.6166,0.0018
B2_logreg,class_error,0.6212,0.0018
B2_logreg,class_error,0.6257,0.0018
B2_logreg,class_error,0.6302,0.0027
B2_logreg,class_error,0.6348,0.0027
B2_logreg,class_error,0.6393,0.0027
B2_logreg,class_error,0.6438,0.0026
B2_logreg,class_error,0.6484,0.0026
B2_logreg,class_error,0.6529,0.0026
B2_logreg,class_error,0.6574,0.0026
B2_logreg,class_error,0.6619,0.0026
B2_logreg,class_error,0.6665,0.0025
B2_logreg,class_error,0.671,0.0042
B2_logreg,class_error,0.6755,0.0042
B2_logreg,class_error,0.6801,0.0042
B2_logreg,class_error,0.6846,0.0041
B2_logreg,class_error,0.6891,0.0041
B2_logreg,class_error,0.6937,0.0057
B2_logreg,class_error,0.6982,0.0073
B2_logreg,class_error,0.7027,0.0089
B2_logreg,class_error,0.7072,0.0088
B2_logreg,class_error,0.7118,0.0095
B2_logreg,class_error,0.7163,0.0095
B2_logreg,class_error,0.7208,0.011
B2_logreg,class_error,0.7254,0.0125
B2_logreg,class_error,0.7299,0.0132
B2_logreg,class_error,0.7344,0.0139
B2_logreg,class_error,0.739,0.0161
B2_logreg,class_error,0.7435,0.0168
B2_logreg,class_error,0.748,0.0182
B2_logreg,class_error,0.7525,0.0203
B2_logreg,class_error,0.7571,0.0217
B2_logreg,class_error,0.7616,0.0238
B2_logreg,class_error,0.7661,0.0259
B2_logreg,class_error,0.7707,0.0279
B2_logreg,class_error,0.7752,0.0292
B2_logreg,class_error,0.7797,0.032
B2_logreg,class_error,0.7843,0.0332
B2_logreg,class_error,0.7888,0.0352
B2_logreg,class_error,0.7933,0.0364
B2_logreg,class_error,0.7978,0.0383
B2_logreg,class_error,0.8024,0.0395
B2_logreg,class_error,0.8069,0.0421
B2_logreg,class_error,0.8114,0.0447
B2_logreg,class_error,0.816,0.0458
B2_logreg,class_error,0.8205,0.0469
B2_logreg,class_error,0.825,0.0494
B2_logreg,class_error,0.8296,0.0505
B2_logreg,class_error,0.8341,0.0523
B2_logreg,class_error,0.8386,0.0547
B2_logreg,class_error,0.8431,0.0571
B2_logreg,class_error,0.8477,0.0588
B2_logreg,class_error,0.8522,0.0611
B2_logreg,class_error,0.8567,0.0628
B2_logreg,class_error,0.8613,0.0651
B2_logreg,class_error,0.8658,0.0661
B2_logreg,class_error,0.8703,0.0683
B2_logreg,class_error,0.8749,0.0693
B2_logreg,class_error,0.8794,0.0721
B2_logreg,class_error,0.8839,0.073
B2_logreg,class_error,0.8884,0.0746
B2_logreg,class_error,0.893,0.0748
B2_logreg,class_error,0.8975,0.0757
B2_logreg,class_error,0.902,0.0772
B2_logreg,class_error,0.9066,0.0768
B2_logreg,class_error,0.9111,0.0777
B2_logreg,class_error,0.9156,0.0785
B2_logreg,class_error,0.9202,0.0782
B2_logreg,class_error,0.9247,0.0778
B2_logreg,class_error,0.9292,0.0774
B2_logreg,class_error,0.9337,0.077
B2_logreg,class_error,0.9383,0.0772
B2_logreg,class_error,0.9428,0.0769
B2_logreg,class_error,0.9473,0.0765
B2_logreg,class_error,0.9519,0.0761
B2_logreg,class_error,0.9564,0.0758
B2_logreg,class_error,0.9609,0.0754
B2_logreg,class_error,0.9655,0.0751
B2_logreg,class_error,0.97,0.0747
B2_logreg,class_error,0.9745,0.0744
B2_logreg,class_error,0.979,0.074
B2_logreg,class_error,0.9836,0.0737
B2_logreg,class_error,0.9881,0.0734
B2_logreg,class_error,0.9926,0.073
B2_logreg,class_error,0.9972,0.0727
B2_logreg,background_accept,0.0006,0.0
B2_logreg,background_accept,0.0051,0.0
B2_logreg,background_accept,0.0096,0.0
B2_logreg,background_accept,0.0142,0.0
B2_logreg,background_accept,0.0187,0.0
B2_logreg,background_accept,0.0232,0.0
B2_logreg,background_accept,0.0277,0.0
B2_logreg,background_accept,0.0323,0.0
B2_logreg,background_accept,0.0368,0.0
B2_logreg,background_accept,0.0413,0.0
B2_logreg,background_accept,0.0459,0.0
B2_logreg,background_accept,0.0504,0.0
B2_logreg,background_accept,0.0549,0.0
B2_logreg,background_accept,0.0595,0.0
B2_logreg,background_accept,0.064,0.0
B2_logreg,background_accept,0.0685,0.0
B2_logreg,background_accept,0.073,0.0
B2_logreg,background_accept,0.0776,0.0
B2_logreg,background_accept,0.0821,0.0
B2_logreg,background_accept,0.0866,0.0
B2_logreg,background_accept,0.0912,0.0
B2_logreg,background_accept,0.0957,0.0
B2_logreg,background_accept,0.1002,0.0
B2_logreg,background_accept,0.1048,0.0
B2_logreg,background_accept,0.1093,0.0
B2_logreg,background_accept,0.1138,0.0
B2_logreg,background_accept,0.1183,0.0
B2_logreg,background_accept,0.1229,0.0
B2_logreg,background_accept,0.1274,0.0
B2_logreg,background_accept,0.1319,0.0
B2_logreg,background_accept,0.1365,0.0
B2_logreg,background_accept,0.141,0.0
B2_logreg,background_accept,0.1455,0.0
B2_logreg,background_accept,0.1501,0.0
B2_logreg,background_accept,0.1546,0.0
B2_logreg,background_accept,0.1591,0.0
B2_logreg,background_accept,0.1636,0.0
B2_logreg,background_accept,0.1682,0.0
B2_logreg,background_accept,0.1727,0.0
B2_logreg,background_accept,0.1772,0.0
B2_logreg,background_accept,0.1818,0.0
B2_logreg,background_accept,0.1863,0.0
B2_logreg,background_accept,0.1908,0.0
B2_logreg,background_accept,0.1954,0.0
B2_logreg,background_accept,0.1999,0.0
B2_logreg,background_accept,0.2044,0.0
B2_logreg,background_accept,0.2089,0.0
B2_logreg,background_accept,0.2135,0.0
B2_logreg,background_accept,0.218,0.0
B2_logreg,background_accept,0.2225,0.0
B2_logreg,background_accept,0.2271,0.0
B2_logreg,background_accept,0.2316,0.0
B2_logreg,background_accept,0.2361,0.0
B2_logreg,background_accept,0.2407,0.0
B2_logreg,background_accept,0.2452,0.0
B2_logreg,background_accept,0.2497,0.0
B2_logreg,background_accept,0.2542,0.0
B2_logreg,background_accept,0.2588,0.0
B2_logreg,background_accept,0.2633,0.0
B2_logreg,background_accept,0.2678,0.0
B2_logreg,background_accept,0.2724,0.0
B2_logreg,background_accept,0.2769,0.0
B2_logreg,background_accept,0.2814,0.0
B2_logreg,background_accept,0.286,0.0
B2_logreg,background_accept,0.2905,0.0
B2_logreg,background_accept,0.295,0.0
B2_logreg,background_accept,0.2995,0.0
B2_logreg,background_accept,0.3041,0.0
B2_logreg,background_accept,0.3086,0.0
B2_logreg,background_accept,0.3131,0.0
B2_logreg,background_accept,0.3177,0.0
B2_logreg,background_accept,0.3222,0.0
B2_logreg,background_accept,0.3267,0.0
B2_logreg,background_accept,0.3313,0.0
B2_logreg,background_accept,0.3358,0.0
B2_logreg,background_accept,0.3403,0.0
B2_logreg,background_accept,0.3448,0.0
B2_logreg,background_accept,0.3494,0.0
B2_logreg,background_accept,0.3539,0.0
B2_logreg,background_accept,0.3584,0.0
B2_logreg,background_accept,0.363,0.0
B2_logreg,background_accept,0.3675,0.0
B2_logreg,background_accept,0.372,0.0
B2_logreg,background_accept,0.3766,0.0
B2_logreg,background_accept,0.3811,0.0
B2_logreg,background_accept,0.3856,0.0
B2_logreg,background_accept,0.3901,0.0
B2_logreg,background_accept,0.3947,0.0
B2_logreg,background_accept,0.3992,0.0
B2_logreg,background_accept,0.4037,0.0
B2_logreg,background_accept,0.4083,0.0
B2_logreg,background_accept,0.4128,0.0
B2_logreg,background_accept,0.4173,0.0
B2_logreg,background_accept,0.4219,0.0
B2_logreg,background_accept,0.4264,0.0
B2_logreg,background_accept,0.4309,0.0
B2_logreg,background_accept,0.4354,0.0
B2_logreg,background_accept,0.44,0.0
B2_logreg,background_accept,0.4445,0.0
B2_logreg,background_accept,0.449,0.0
B2_logreg,background_accept,0.4536,0.0
B2_logreg,background_accept,0.4581,0.0
B2_logreg,background_accept,0.4626,0.0
B2_logreg,background_accept,0.4672,0.0
B2_logreg,background_accept,0.4717,0.0
B2_logreg,background_accept,0.4762,0.0
B2_logreg,background_accept,0.4807,0.0
B2_logreg,background_accept,0.4853,0.0
B2_logreg,background_accept,0.4898,0.0
B2_logreg,background_accept,0.4943,0.0
B2_logreg,background_accept,0.4989,0.0
B2_logreg,background_accept,0.5034,0.0
B2_logreg,background_accept,0.5079,0.0
B2_logreg,background_accept,0.5125,0.0
B2_logreg,background_accept,0.517,0.0
B2_logreg,background_accept,0.5215,0.0
B2_logreg,background_accept,0.526,0.0
B2_logreg,background_accept,0.5306,0.0
B2_logreg,background_accept,0.5351,0.0
B2_logreg,background_accept,0.5396,0.0
B2_logreg,background_accept,0.5442,0.0
B2_logreg,background_accept,0.5487,0.0
B2_logreg,background_accept,0.5532,0.0
B2_logreg,background_accept,0.5578,0.0
B2_logreg,background_accept,0.5623,0.0
B2_logreg,background_accept,0.5668,0.0
B2_logreg,background_accept,0.5713,0.0
B2_logreg,background_accept,0.5759,0.0
B2_logreg,background_accept,0.5804,0.0
B2_logreg,background_accept,0.5849,0.0
B2_logreg,background_accept,0.5895,0.0
B2_logreg,background_accept,0.594,0.0
B2_logreg,background_accept,0.5985,0.0
B2_logreg,background_accept,0.6031,0.0
B2_logreg,background_accept,0.6076,0.0
B2_logreg,background_accept,0.6121,0.0
B2_logreg,background_accept,0.6166,0.0
B2_logreg,background_accept,0.6212,0.0
B2_logreg,background_accept,0.6257,0.0
B2_logreg,background_accept,0.6302,0.0
B2_logreg,background_accept,0.6348,0.0
B2_logreg,background_accept,0.6393,0.0
B2_logreg,background_accept,0.6438,0.0
B2_logreg,background_accept,0.6484,0.0
B2_logreg,background_accept,0.6529,0.0
B2_logreg,background_accept,0.6574,0.0
B2_logreg,background_accept,0.6619,0.0
B2_logreg,background_accept,0.6665,0.0008
B2_logreg,background_accept,0.671,0.0008
B2_logreg,background_accept,0.6755,0.0008
B2_logreg,background_accept,0.6801,0.0008
B2_logreg,background_accept,0.6846,0.0008
B2_logreg,background_accept,0.6891,0.0008
B2_logreg,background_accept,0.6937,0.0008
B2_logreg,background_accept,0.6982,0.0008
B2_logreg,background_accept,0.7027,0.0008
B2_logreg,background_accept,0.7072,0.0008
B2_logreg,background_accept,0.7118,0.0008
B2_logreg,background_accept,0.7163,0.0008
B2_logreg,background_accept,0.7208,0.0008
B2_logreg,background_accept,0.7254,0.0008
B2_logreg,background_accept,0.7299,0.0008
B2_logreg,background_accept,0.7344,0.0008
B2_logreg,background_accept,0.739,0.0008
B2_logreg,background_accept,0.7435,0.0008
B2_logreg,background_accept,0.748,0.0008
B2_logreg,background_accept,0.7525,0.0008
B2_logreg,background_accept,0.7571,0.0007
B2_logreg,background_accept,0.7616,0.0007
B2_logreg,background_accept,0.7661,0.0007
B2_logreg,background_accept,0.7707,0.0007
B2_logreg,background_accept,0.7752,0.0007
B2_logreg,background_accept,0.7797,0.0007
B2_logreg,background_accept,0.7843,0.0007
B2_logreg,background_accept,0.7888,0.0007
B2_logreg,background_accept,0.7933,0.0007
B2_logreg,background_accept,0.7978,0.0007
B2_logreg,background_accept,0.8024,0.0007
B2_logreg,background_accept,0.8069,0.0007
B2_logreg,background_accept,0.8114,0.0007
B2_logreg,background_accept,0.816,0.0007
B2_logreg,background_accept,0.8205,0.0007
B2_logreg,background_accept,0.825,0.0007
B2_logreg,background_accept,0.8296,0.0007
B2_logreg,background_accept,0.8341,0.0007
B2_logreg,background_accept,0.8386,0.0014
B2_logreg,background_accept,0.8431,0.0013
B2_logreg,background_accept,0.8477,0.0013
B2_logreg,background_accept,0.8522,0.0013
B2_logreg,background_accept,0.8567,0.002
B2_logreg,background_accept,0.8613,0.0033
B2_logreg,background_accept,0.8658,0.0039
B2_logreg,background_accept,0.8703,0.0039
B2_logreg,background_accept,0.8749,0.0039
B2_logreg,background_accept,0.8794,0.0039
B2_logreg,background_accept,0.8839,0.0038
B2_logreg,background_accept,0.8884,0.0051
B2_logreg,background_accept,0.893,0.0057
B2_logreg,background_accept,0.8975,0.0082
B2_logreg,background_accept,0.902,0.01
B2_logreg,background_accept,0.9066,0.0125
B2_logreg,background_accept,0.9111,0.0155
B2_logreg,background_accept,0.9156,0.0179
B2_logreg,background_accept,0.9202,0.0222
B2_logreg,background_accept,0.9247,0.0269
B2_logreg,background_accept,0.9292,0.0317
B2_logreg,background_accept,0.9337,0.0364
B2_logreg,background_accept,0.9383,0.0398
B2_logreg,background_accept,0.9428,0.0438
B2_logreg,background_accept,0.9473,0.0484
B2_logreg,background_accept,0.9519,0.0529
B2_logreg,background_accept,0.9564,0.0574
B2_logreg,background_accept,0.9609,0.0619
B2_logreg,background_accept,0.9655,0.0663
B2_logreg,background_accept,0.97,0.0706
B2_logreg,background_accept,0.9745,0.075
B2_logreg,background_accept,0.979,0.0792
B2_logreg,background_accept,0.9836,0.0835
B2_logreg,background_accept,0.9881,0.0877
B2_logreg,background_accept,0.9926,0.0918
B2_logreg,background_accept,0.9972,0.096
B2_logreg,localisation_accept,0.0006,0.0
B2_logreg,localisation_accept,0.0051,0.0
B2_logreg,localisation_accept,0.0096,0.0
B2_logreg,localisation_accept,0.0142,0.0
B2_logreg,localisation_accept,0.0187,0.0
B2_logreg,localisation_accept,0.0232,0.0
B2_logreg,localisation_accept,0.0277,0.0
B2_logreg,localisation_accept,0.0323,0.0
B2_logreg,localisation_accept,0.0368,0.0
B2_logreg,localisation_accept,0.0413,0.0
B2_logreg,localisation_accept,0.0459,0.0123
B2_logreg,localisation_accept,0.0504,0.0112
B2_logreg,localisation_accept,0.0549,0.0103
B2_logreg,localisation_accept,0.0595,0.0095
B2_logreg,localisation_accept,0.064,0.0088
B2_logreg,localisation_accept,0.0685,0.0165
B2_logreg,localisation_accept,0.073,0.0233
B2_logreg,localisation_accept,0.0776,0.0292
B2_logreg,localisation_accept,0.0821,0.0276
B2_logreg,localisation_accept,0.0866,0.0261
B2_logreg,localisation_accept,0.0912,0.0248
B2_logreg,localisation_accept,0.0957,0.0237
B2_logreg,localisation_accept,0.1002,0.0226
B2_logreg,localisation_accept,0.1048,0.027
B2_logreg,localisation_accept,0.1093,0.0311
B2_logreg,localisation_accept,0.1138,0.0299
B2_logreg,localisation_accept,0.1183,0.0335
B2_logreg,localisation_accept,0.1229,0.0323
B2_logreg,localisation_accept,0.1274,0.0311
B2_logreg,localisation_accept,0.1319,0.03
B2_logreg,localisation_accept,0.1365,0.029
B2_logreg,localisation_accept,0.141,0.0321
B2_logreg,localisation_accept,0.1455,0.0311
B2_logreg,localisation_accept,0.1501,0.0302
B2_logreg,localisation_accept,0.1546,0.0366
B2_logreg,localisation_accept,0.1591,0.0391
B2_logreg,localisation_accept,0.1636,0.0415
B2_logreg,localisation_accept,0.1682,0.0438
B2_logreg,localisation_accept,0.1727,0.0426
B2_logreg,localisation_accept,0.1772,0.0415
B2_logreg,localisation_accept,0.1818,0.0405
B2_logreg,localisation_accept,0.1863,0.0456
B2_logreg,localisation_accept,0.1908,0.0445
B2_logreg,localisation_accept,0.1954,0.0435
B2_logreg,localisation_accept,0.1999,0.0453
B2_logreg,localisation_accept,0.2044,0.0443
B2_logreg,localisation_accept,0.2089,0.0461
B2_logreg,localisation_accept,0.2135,0.0451
B2_logreg,localisation_accept,0.218,0.0442
B2_logreg,localisation_accept,0.2225,0.0433
B2_logreg,localisation_accept,0.2271,0.0424
B2_logreg,localisation_accept,0.2316,0.044
B2_logreg,localisation_accept,0.2361,0.0504
B2_logreg,localisation_accept,0.2407,0.0541
B2_logreg,localisation_accept,0.2452,0.0554
B2_logreg,localisation_accept,0.2497,0.0567
B2_logreg,localisation_accept,0.2542,0.0579
B2_logreg,localisation_accept,0.2588,0.0591
B2_logreg,localisation_accept,0.2633,0.0602
B2_logreg,localisation_accept,0.2678,0.0592
B2_logreg,localisation_accept,0.2724,0.0582
B2_logreg,localisation_accept,0.2769,0.0573
B2_logreg,localisation_accept,0.2814,0.0584
B2_logreg,localisation_accept,0.286,0.0594
B2_logreg,localisation_accept,0.2905,0.0585
B2_logreg,localisation_accept,0.295,0.0576
B2_logreg,localisation_accept,0.2995,0.0567
B2_logreg,localisation_accept,0.3041,0.0596
B2_logreg,localisation_accept,0.3086,0.0606
B2_logreg,localisation_accept,0.3131,0.0597
B2_logreg,localisation_accept,0.3177,0.0606
B2_logreg,localisation_accept,0.3222,0.0633
B2_logreg,localisation_accept,0.3267,0.0624
B2_logreg,localisation_accept,0.3313,0.065
B2_logreg,localisation_accept,0.3358,0.0658
B2_logreg,localisation_accept,0.3403,0.0649
B2_logreg,localisation_accept,0.3448,0.064
B2_logreg,localisation_accept,0.3494,0.0648
B2_logreg,localisation_accept,0.3539,0.0656
B2_logreg,localisation_accept,0.3584,0.0664
B2_logreg,localisation_accept,0.363,0.0671
B2_logreg,localisation_accept,0.3675,0.0678
B2_logreg,localisation_accept,0.372,0.0685
B2_logreg,localisation_accept,0.3766,0.0722
B2_logreg,localisation_accept,0.3811,0.0728
B2_logreg,localisation_accept,0.3856,0.0749
B2_logreg,localisation_accept,0.3901,0.0755
B2_logreg,localisation_accept,0.3947,0.0789
B2_logreg,localisation_accept,0.3992,0.0794
B2_logreg,localisation_accept,0.4037,0.0785
B2_logreg,localisation_accept,0.4083,0.0804
B2_logreg,localisation_accept,0.4128,0.0837
B2_logreg,localisation_accept,0.4173,0.0868
B2_logreg,localisation_accept,0.4219,0.0872
B2_logreg,localisation_accept,0.4264,0.0863
B2_logreg,localisation_accept,0.4309,0.088
B2_logreg,localisation_accept,0.4354,0.091
B2_logreg,localisation_accept,0.44,0.094
B2_logreg,localisation_accept,0.4445,0.0943
B2_logreg,localisation_accept,0.449,0.0984
B2_logreg,localisation_accept,0.4536,0.0999
B2_logreg,localisation_accept,0.4581,0.1038
B2_logreg,localisation_accept,0.4626,0.1077
B2_logreg,localisation_accept,0.4672,0.1067
B2_logreg,localisation_accept,0.4717,0.1092
B2_logreg,localisation_accept,0.4762,0.113
B2_logreg,localisation_accept,0.4807,0.1131
B2_logreg,localisation_accept,0.4853,0.1155
B2_logreg,localisation_accept,0.4898,0.1191
B2_logreg,localisation_accept,0.4943,0.1214
B2_logreg,localisation_accept,0.4989,0.1249
B2_logreg,localisation_accept,0.5034,0.126
B2_logreg,localisation_accept,0.5079,0.1315
B2_logreg,localisation_accept,0.5125,0.1348
B2_logreg,localisation_accept,0.517,0.1347
B2_logreg,localisation_accept,0.5215,0.1357
B2_logreg,localisation_accept,0.526,0.1367
B2_logreg,localisation_accept,0.5306,0.1387
B2_logreg,localisation_accept,0.5351,0.1397
B2_logreg,localisation_accept,0.5396,0.1417
B2_logreg,localisation_accept,0.5442,0.1446
B2_logreg,localisation_accept,0.5487,0.1465
B2_logreg,localisation_accept,0.5532,0.1484
B2_logreg,localisation_accept,0.5578,0.1523
B2_logreg,localisation_accept,0.5623,0.1561
B2_logreg,localisation_accept,0.5668,0.1598
B2_logreg,localisation_accept,0.5713,0.1645
B2_logreg,localisation_accept,0.5759,0.1681
B2_logreg,localisation_accept,0.5804,0.1678
B2_logreg,localisation_accept,0.5849,0.1723
B2_logreg,localisation_accept,0.5895,0.1748
B2_logreg,localisation_accept,0.594,0.1783
B2_logreg,localisation_accept,0.5985,0.1826
B2_logreg,localisation_accept,0.6031,0.1869
B2_logreg,localisation_accept,0.6076,0.1901
B2_logreg,localisation_accept,0.6121,0.1933
B2_logreg,localisation_accept,0.6166,0.1993
B2_logreg,localisation_accept,0.6212,0.2015
B2_logreg,localisation_accept,0.6257,0.2045
B2_logreg,localisation_accept,0.6302,0.2093
B2_logreg,localisation_accept,0.6348,0.2123
B2_logreg,localisation_accept,0.6393,0.217
B2_logreg,localisation_accept,0.6438,0.2199
B2_logreg,localisation_accept,0.6484,0.221
B2_logreg,localisation_accept,0.6529,0.222
B2_logreg,localisation_accept,0.6574,0.2257
B2_logreg,localisation_accept,0.6619,0.2293
B2_logreg,localisation_accept,0.6665,0.2319
B2_logreg,localisation_accept,0.671,0.2338
B2_logreg,localisation_accept,0.6755,0.2381
B2_logreg,localisation_accept,0.6801,0.2415
B2_logreg,localisation_accept,0.6846,0.244
B2_logreg,localisation_accept,0.6891,0.249
B2_logreg,localisation_accept,0.6937,0.2514
B2_logreg,localisation_accept,0.6982,0.2547
B2_logreg,localisation_accept,0.7027,0.2571
B2_logreg,localisation_accept,0.7072,0.261
B2_logreg,localisation_accept,0.7118,0.2649
B2_logreg,localisation_accept,0.7163,0.2688
B2_logreg,localisation_accept,0.7208,0.271
B2_logreg,localisation_accept,0.7254,0.2724
B2_logreg,localisation_accept,0.7299,0.2754
B2_logreg,localisation_accept,0.7344,0.2783
B2_logreg,localisation_accept,0.739,0.2789
B2_logreg,localisation_accept,0.7435,0.2818
B2_logreg,localisation_accept,0.748,0.2846
B2_logreg,localisation_accept,0.7525,0.2867
B2_logreg,localisation_accept,0.7571,0.288
B2_logreg,localisation_accept,0.7616,0.29
B2_logreg,localisation_accept,0.7661,0.2912
B2_logreg,localisation_accept,0.7707,0.2932
B2_logreg,localisation_accept,0.7752,0.2958
B2_logreg,localisation_accept,0.7797,0.2963
B2_logreg,localisation_accept,0.7843,0.2989
B2_logreg,localisation_accept,0.7888,0.3001
B2_logreg,localisation_accept,0.7933,0.3012
B2_logreg,localisation_accept,0.7978,0.3031
B2_logreg,localisation_accept,0.8024,0.3049
B2_logreg,localisation_accept,0.8069,0.306
B2_logreg,localisation_accept,0.8114,0.3064
B2_logreg,localisation_accept,0.816,0.3081
B2_logreg,localisation_accept,0.8205,0.3106
B2_logreg,localisation_accept,0.825,0.3116
B2_logreg,localisation_accept,0.8296,0.3133
B2_logreg,localisation_accept,0.8341,0.315
B2_logreg,localisation_accept,0.8386,0.3153
B2_logreg,localisation_accept,0.8431,0.3156
B2_logreg,localisation_accept,0.8477,0.3173
B2_logreg,localisation_accept,0.8522,0.3183
B2_logreg,localisation_accept,0.8567,0.3186
B2_logreg,localisation_accept,0.8613,0.3182
B2_logreg,localisation_accept,0.8658,0.3198
B2_logreg,localisation_accept,0.8703,0.3208
B2_logreg,localisation_accept,0.8749,0.3223
B2_logreg,localisation_accept,0.8794,0.3226
B2_logreg,localisation_accept,0.8839,0.3248
B2_logreg,localisation_accept,0.8884,0.325
B2_logreg,localisation_accept,0.893,0.3272
B2_logreg,localisation_accept,0.8975,0.3268
B2_logreg,localisation_accept,0.902,0.3264
B2_logreg,localisation_accept,0.9066,0.3273
B2_logreg,localisation_accept,0.9111,0.3263
B2_logreg,localisation_accept,0.9156,0.3259
B2_logreg,localisation_accept,0.9202,0.3249
B2_logreg,localisation_accept,0.9247,0.3233
B2_logreg,localisation_accept,0.9292,0.3218
B2_logreg,localisation_accept,0.9337,0.3202
B2_logreg,localisation_accept,0.9383,0.3193
B2_logreg,localisation_accept,0.9428,0.3183
