baseline,harm,model,scoring,aurc,coverage_at_1%,coverage_at_5%
B2_logreg,class_error,nvidia/nemotron-nano-12b-v2-vl,logprob,0.0161,0.7078,0.833
B3_vlm_escalated,class_error,nvidia/nemotron-nano-12b-v2-vl,logprob,0.0086,0.7961,0.9553
