arm,alpha,k,verdict,n,feature,mean
local_tight,0.0,4.0,reject_background,174,class_margin,-0.0745
local_tight,0.0,4.0,reject_background,174,evidence_margin,-0.0557
local_tight,0.0,4.0,reject_localisation,530,sim_at_1,0.943
local_tight,0.0,4.0,reject_localisation,530,agreement_at_k,0.9449
local_tight,0.0,4.0,reject_localisation,530,class_margin,0.0981
local_tight,0.0,4.0,reject_localisation,530,evidence_margin,-0.0033
local_tight,0.0,4.0,relabel,128,sim_at_1,0.9428
local_tight,0.0,4.0,relabel,128,agreement_at_k,0.0375
local_tight,0.0,4.0,relabel,128,class_margin,-0.1339
local_tight,0.0,4.0,relabel,128,evidence_margin,-0.004
local_tight,0.25,4.0,accept,531,sim_at_1,0.9452
local_tight,0.25,4.0,accept,531,agreement_at_k,0.9985
local_tight,0.25,4.0,accept,531,class_margin,0.1127
local_tight,0.25,4.0,accept,531,evidence_margin,0.0029
local_tight,0.25,4.0,adjust,403,sim_at_1,0.9373
local_tight,0.25,4.0,adjust,403,agreement_at_k,0.9931
local_tight,0.25,4.0,adjust,403,class_margin,0.1053
local_tight,0.25,4.0,adjust,403,evidence_margin,-0.0027
local_tight,0.25,4.0,reject_background,174,sim_at_1,0.8419
local_tight,0.25,4.0,reject_background,174,agreement_at_k,0.1264
local_tight,0.25,4.0,reject_background,174,class_margin,-0.0602
local_tight,0.25,4.0,reject_background,174,evidence_margin,-0.0592
local_tight,0.25,4.0,reject_localisation,530,sim_at_1,0.9272
local_tight,0.25,4.0,reject_localisation,530,agreement_at_k,0.9811
local_tight,0.25,4.0,reject_localisation,530,class_margin,0.0913
local_tight,0.25,4.0,reject_localisation,530,evidence_margin,-0.0122
local_tight,0.25,4.0,relabel,128,sim_at_1,0.9373
local_tight,0.25,4.0,relabel,128,agreement_at_k,0.0047
local_tight,0.25,4.0,relabel,128,class_margin,-0.1364
local_tight,0.25,4.0,relabel,128,evidence_margin,-0.0021
local_tight,0.5,4.0,accept,531,sim_at_1,0.9481
local_tight,0.5,4.0,accept,531,agreement_at_k,0.9985
local_tight,0.5,4.0,accept,531,class_margin,0.1186
local_tight,0.5,4.0,accept,531,evidence_margin,0.0047
local_tight,0.5,4.0,adjust,403,sim_at_1,0.9369
local_tight,0.5,4.0,adjust,403,agreement_at_k,0.9985
local_tight,0.5,4.0,adjust,403,class_margin,0.1075
local_tight,0.5,4.0,adjust,403,evidence_margin,-0.0039
local_tight,0.5,4.0,reject_background,174,sim_at_1,0.8502
local_tight,0.5,4.0,reject_background,174,agreement_at_k,0.131
local_tight,0.5,4.0,reject_background,174,class_margin,-0.052
local_tight,0.5,4.0,reject_background,174,evidence_margin,-0.0559
local_tight,0.5,4.0,reject_localisation,530,sim_at_1,0.9199
local_tight,0.5,4.0,reject_localisation,530,agreement_at_k,0.9804
local_tight,0.5,4.0,reject_localisation,530,class_margin,0.0803
