arm,alpha,k,reject_type,feature,n_accept,n_reject,auroc
local_tight,0.25,4.0,reject_localisation,agreement_at_k,531,530,0.5208
local_tight,0.25,4.0,reject_localisation,class_margin,531,530,0.6492
local_tight,0.25,4.0,reject_localisation,evidence_margin,531,530,0.8813
local_tight,0.25,4.0,relabel,sim_at_1,531,128,0.606
local_tight,0.25,4.0,relabel,agreement_at_k,531,128,1.0
local_tight,0.25,4.0,relabel,class_margin,531,128,1.0
local_tight,0.25,4.0,relabel,evidence_margin,531,128,0.6517
local_tight,0.25,4.0,adjust,sim_at_1,531,403,0.6222
local_tight,0.25,4.0,adjust,agreement_at_k,531,403,0.512
local_tight,0.25,4.0,adjust,class_margin,531,403,0.5539
local_tight,0.25,4.0,adjust,evidence_margin,531,403,0.6744
local_tight,0.5,4.0,reject_background,sim_at_1,531,174,0.996
local_tight,0.5,4.0,reject_background,agreement_at_k,531,174,0.9709
local_tight,0.5,4.0,reject_background,class_margin,531,174,0.9952
local_tight,0.5,4.0,reject_background,evidence_margin,531,174,0.9948
local_tight,0.5,4.0,reject_localisation,sim_at_1,531,530,0.8539
local_tight,0.5,4.0,reject_localisation,agreement_at_k,531,530,0.518
local_tight,0.5,4.0,reject_localisation,class_margin,531,530,0.7952
local_tight,0.5,4.0,reject_localisation,evidence_margin,531,530,0.9279
local_tight,0.5,4.0,relabel,sim_at_1,531,128,0.641
local_tight,0.5,4.0,relabel,agreement_at_k,531,128,1.0
local_tight,0.5,4.0,relabel,class_margin,531,128,1.0
local_tight,0.5,4.0,relabel,evidence_margin,531,128,0.6955
local_tight,0.5,4.0,adjust,sim_at_1,531,403,0.6717
local_tight,0.5,4.0,adjust,agreement_at_k,531,403,0.5
local_tight,0.5,4.0,adjust,class_margin,531,403,0.6033
local_tight,0.5,4.0,adjust,evidence_margin,531,403,0.7273
local_tight,0.75,4.0,reject_background,sim_at_1,531,174,0.9964
local_tight,0.75,4.0,reject_background,agreement_at_k,531,174,0.9912
local_tight,0.75,4.0,reject_background,class_margin,531,174,0.9995
local_tight,0.75,4.0,reject_background,evidence_margin,531,174,0.9917
local_tight,0.75,4.0,reject_localisation,sim_at_1,531,530,0.8956
local_tight,0.75,4.0,reject_localisation,agreement_at_k,531,530,0.5455
local_tight,0.75,4.0,reject_localisation,class_margin,531,530,0.879
local_tight,0.75,4.0,reject_localisation,evidence_margin,531,530,0.9461
local_tight,0.75,4.0,relabel,sim_at_1,531,128,0.6761
local_tight,0.75,4.0,relabel,agreement_at_k,531,128,1.0
local_tight,0.75,4.0,relabel,class_margin,531,128,1.0
local_tight,0.75,4.0,relabel,evidence_margin,531,128,0.7309
local_tight,0.75,4.0,adjust,sim_at_1,531,403,0.7088
local_tight,0.75,4.0,adjust,agreement_at_k,531,403,0.5009
local_tight,0.75,4.0,adjust,class_margin,531,403,0.6357
local_tight,0.75,4.0,adjust,evidence_margin,531,403,0.7757
local_tight,1.0,4.0,reject_background,sim_at_1,531,174,0.9654
local_tight,1.0,4.0,reject_background,agreement_at_k,531,174,0.9766
local_tight,1.0,4.0,reject_background,class_margin,531,174,0.9976
local_tight,1.0,4.0,reject_background,evidence_margin,531,174,0.9954
local_tight,1.0,4.0,reject_localisation,sim_at_1,531,530,0.9019
